Модель,Год,Город,Поколение,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Привод,Руль,Цвет,Растаможен в Казахстане,Опции,Состояние,Цена
ВАЗ (Lada) Granta 2190,2014,Астана,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,,Да,,б/у,2100000
ВАЗ (Lada) Granta 2190,2014,Усть-Каменогорск,2011 - 2018 1 поколение,Седан,1.6 (бензин),75 000 км,Механика,Передний привод,Слева,,Да,,б/у,3800000
ВАЗ (Lada) Granta 2190,2021,Актобе,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),142 230 км,Автомат,Передний привод,Слева,,Да,"тонировка, встроенный телефон, bluetooth, CD-чейнджер, USB, кондиционер, ГУР, ABS, сигнализация, автозапуск, центрозамок, налог уплачен, техосмотр пройден, вложений не требует",б/у,4700000
ВАЗ (Lada) Granta 2190,2020,Актобе,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),138 841 км,Механика,Передний привод,Слева,белый,Да,"литые диски, тонировка, ветровики, дневные ходовые огни, противотуманки, велюр, аудиосистема, bluetooth, MP3, USB, ГУР, ABS, SRS, полный электропакет, кондиционер, налог уплачен, техосмотр пройден",б/у,2860000
ВАЗ (Lada) Granta 2190,2016,Атырау,2011 - 2018 1 поколение,Седан,1.6 (бензин),176 000 км,Механика,Передний привод,Слева,коричневый металлик,Да,кондиционер,б/у,2200000
ВАЗ (Lada) Granta 2190,2019,Актобе,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),91 268 км,Механика,Передний привод,Слева,черный,Да,"тонировка, ветровики, дневные ходовые огни, противотуманки, велюр, аудиосистема, bluetooth, MP3, USB, кондиционер, ГУР, ABS, SRS, сигнализация, налог уплачен, техосмотр пройден",б/у,3480000
ВАЗ (Lada) Granta 2190,2020,Петропавловск,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),,Механика,Передний привод,Слева,белый металлик,Да,"тонировка, ветровики, хрустальная оптика, дневные ходовые огни, корректор фар, комбинированный, аудиосистема, встроенный телефон, bluetooth, MP3, USB, ГУР, ABS, SRS, центрозамок, налог уплачен, техосмотр пройден, вложений не требует",б/у,4000000
ВАЗ (Lada) Granta 2190,2014,Актобе,2011 - 2018 1 поколение,Седан,1.6 (бензин),97 358 км,Автомат,Передний привод,Слева,серый,Да,"тонировка, ветровики, дневные ходовые огни, противотуманки, велюр, аудиосистема, bluetooth, MP3, USB, кондиционер, ГУР, ABS, SRS, сигнализация, полный электропакет, центрозамок, подогрев сидений, парктроники, налог уплачен, техосмотр пройден",б/у,2850000
ВАЗ (Lada) Granta 2190,2022,Каратобе,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),112 300 км,Автомат,Передний привод,Слева,белый,Да,"тонировка, ветровики, дневные ходовые огни, обогрев зеркал, ГУР, ABS, сигнализация, автозапуск, полный электропакет, центрозамок, кондиционер, подогрев сидений, камера заднего вида, налог уплачен, техосмотр пройден, вложений не требует",б/у,4500000
ВАЗ (Lada) Granta 2190,2013,Хоргос,2011 - 2018 1 поколение,Седан,1.6 (бензин),150 000 км,Механика,Передний привод,Слева,белый металлик,Да,,б/у,2500000
ВАЗ (Lada) Granta 2190,2012,Алматы,2011 - 2018 1 поколение,Седан,1.6 (бензин),70 000 км,Механика,Передний привод,Слева,вишня металлик,Да,"фаркоп, биксенон, дневные ходовые огни, противотуманки, корректор фар, велюр, аудиосистема, CD, MP3, USB, ГУР, ABS, SRS, сигнализация, автозапуск, центрозамок, климат-контроль, бортовой компьютер, налог уплачен, техосмотр пройден, вложений не требует",б/у,3400000
ВАЗ (Lada) Granta 2190,2020,Семей,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),165 000 км,Механика,Передний привод,Слева,серебристый,Да,,б/у,3800000
ВАЗ (Lada) Granta 2190,2018,Актобе,2011 - 2018 1 поколение,Седан,1.6 (бензин),440 251 км,Механика,Передний привод,Слева,белый,Да,"тонировка, дневные ходовые огни, противотуманки, велюр, аудиосистема, bluetooth, MP3, USB, ГУР, ABS, SRS",б/у,2640000
ВАЗ (Lada) Granta 2190,2020,Шымкент,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),141 838 км,Механика,Передний привод,Слева,белый,Да,"тонировка, ветровики, дневные ходовые огни, противотуманки, велюр, аудиосистема, bluetooth, MP3, USB, ГУР, ABS, SRS, сигнализация, налог уплачен, техосмотр пройден",б/у,3230000
ВАЗ (Lada) Granta 2190,2019,Актобе,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),139 216 км,Автомат,Передний привод,Слева,белый,Да,"тонировка, дневные ходовые огни, противотуманки, велюр, аудиосистема, bluetooth, MP3, USB, кондиционер, ГУР, ABS, SRS, подогрев сидений, налог уплачен, техосмотр пройден",б/у,4120000
ВАЗ (Lada) Granta 2190,2013,Павлодар,2011 - 2018 1 поколение,Седан,1.6 (бензин),200 000 км,Механика,Передний привод,Слева,белый металлик,Да,"литые диски, тонировка, ветровики, ксенон, хрустальная оптика, противотуманки, корректор фар, обогрев зеркал, комбинированный, аудиосистема, встроенный телефон, bluetooth, CD, MP3, USB, DVD, сабвуфер, ГУР, ABS, SRS, сигнализация, автозапуск, полный электропакет, центрозамок, налог уплачен, техосмотр пройден, вложений не требует",б/у,2300000
ВАЗ (Lada) Granta 2190,2020,Астана,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),110 000 км,Механика,Передний привод,Слева,,Да,"тонировка, обвес, ветровики, ксенон, линзованная оптика, корректор фар, аудиосистема, встроенный телефон, bluetooth, CD, CD-чейнджер, MP3, USB, сабвуфер, ГУР, ABS, сигнализация, автозапуск, полный электропакет, центрозамок, бортовой компьютер, свежепригнан, налог уплачен, техосмотр пройден, вложений не требует",б/у,4000000
ВАЗ (Lada) Granta 2190,2021,Астана,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),,Автомат,Передний привод,Слева,серый,Да,,б/у,4650000
ВАЗ (Lada) Granta 2190,2020,Алматы,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),120 000 км,Механика,Передний привод,Слева,белый металлик,Да,"литые диски, тонировка, спойлер, обвес, багажник, хрустальная оптика, дневные ходовые огни, обогрев зеркал, велюр, аудиосистема, bluetooth, CD, CD-чейнджер, MP3, USB, ГУР, ABS, SRS, датчик света, датчик дождя, налог уплачен, техосмотр пройден",б/у,2800000
ВАЗ (Lada) Granta 2190,2014,Актобе,2011 - 2018 1 поколение,Седан,1.6 (бензин),187 000 км,Механика,Передний привод,Слева,черный,Да,"тонировка, дневные ходовые огни, велюр, аудиосистема, bluetooth, MP3, USB, сигнализация, автозапуск, центрозамок, кондиционер, бортовой компьютер, налог уплачен, техосмотр пройден, вложений не требует",б/у,2490000
ВАЗ (Lada) Granta 2190,2014,Шымкент,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,белый,Да,"литые диски, спойлер, ветровики, ксенон, линзованная оптика, дневные ходовые огни, противотуманки, аудиосистема, встроенный телефон, сигнализация, бесключевой доступ, центрозамок",б/у,2100000
ВАЗ (Lada) Granta 2190,2013,Астана,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,белый,Да,,б/у,2200000
ВАЗ (Lada) Granta 2190,2013,Шымкент,2011 - 2018 1 поколение,Седан,1.6 (бензин),145 000 км,Механика,Передний привод,Слева,черный,Да,,б/у,2650000
ВАЗ (Lada) Granta 2190,2019,Тараз,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),82 000 км,Робот,Передний привод,Слева,белый металлик,Да,"велюр, кондиционер, вложений не требует",б/у,3900000
ВАЗ (Lada) Granta 2190,2018,Караганда,2011 - 2018 1 поколение,Седан,1.6 (бензин),83 000 км,Автомат,Передний привод,Слева,черный,Да,кондиционер,б/у,3850000
ВАЗ (Lada) Granta 2190,2012,Шымкент,2011 - 2018 1 поколение,Седан,1.6 (бензин),380 000 км,Механика,Передний привод,Слева,серебристый металлик,Да,"литые диски, тонировка, спойлер, обвес, ветровики, багажник, противотуманки, аудиосистема, встроенный телефон, bluetooth, MP3, USB, сабвуфер, кондиционер, сигнализация, автозапуск, полный электропакет, центрозамок, камера заднего вида, налог уплачен, техосмотр пройден, вложений не требует",б/у,3950000
ВАЗ (Lada) Granta 2190,2013,Павлодар,2011 - 2018 1 поколение,Седан,1.6 (бензин),200 000 км,Механика,Передний привод,Слева,белый металлик,Да,"литые диски, тонировка, ветровики, ксенон, хрустальная оптика, противотуманки, корректор фар, обогрев зеркал, комбинированный, аудиосистема, встроенный телефон, bluetooth, CD, MP3, USB, DVD, сабвуфер, ГУР, ABS, SRS, сигнализация, автозапуск, полный электропакет, центрозамок, налог уплачен, техосмотр пройден, вложений не требует",б/у,2300000
ВАЗ (Lada) Granta 2190,2014,Актобе,2011 - 2018 1 поколение,Седан,1.6 (бензин),135 324 км,Механика,Передний привод,Слева,белый,Да,"тонировка, дневные ходовые огни, противотуманки, велюр, аудиосистема, bluetooth, MP3, USB, ГУР, ABS, SRS, сигнализация, налог уплачен, техосмотр пройден",б/у,2120000
